"assay","treatE","cycle","strain","repO","rep","repT","lawn","cfu_w","cfu_releas","id"
"releas","bi","10","MYb71","4","4","2","b",1359.52380952381,73.8095238095238,"MYb71_bi_10_2_4"
"releas","bi","10","MYb11","4","4","1","b",12983.3333333333,505.555555555556,"MYb11_bi_10_1_4"
"releas","bi","10","MYb11","5","5","3","b",6371.42857142857,147.619047619048,"MYb11_bi_10_3_5"
"releas","bi","10","MYb71","3","3","1","b",1817.33333333333,80.6666666666667,"MYb71_bi_10_1_3"
"releas","bi","10","MYb11","4","4","2","b",626.190476190476,-278.571428571429,"MYb11_bi_10_2_4"
"releas","anc","0","MYb71","2","2","1","b",1298.85057471264,268.965517241379,"MYb71_anc_0_1_2"
"releas","anc","0","MYb11","3","3","1","b",217.708333333333,-18.125,"MYb11_anc_0_1_3"
"releas","anc","0","MYb11","2","2","1","b",131.954022988506,40.2298850574713,"MYb11_anc_0_1_2"
"releas","anc","0","MYb71","1","1","3","b",482.666666666667,-54.6666666666667,"MYb71_anc_0_3_1"
"releas","anc","0","MYb71","3","3","3","b",2372.12121212121,53.3333333333333,"MYb71_anc_0_3_3"
"releas","anc","0","MYb71","3","3","1","b",111.458333333333,-8.54166666666667,"MYb71_anc_0_1_3"
"releas","anc","0","MYb11","4","4","3","b",25,130,"MYb11_anc_0_3_4"
"releas","anc","0","MYb11","1","1","2","b",911.111111111111,-733.333333333333,"MYb11_anc_0_2_1"
"releas","anc","0","MYb11","5","5","1","b",196.296296296296,1.48148148148148,"MYb11_anc_0_1_5"
"releas","anc","0","MYb71","5","5","1","b",657.777777777778,-52.2222222222222,"MYb71_anc_0_1_5"
"releas","anc","0","MYb71","3","3","2","b",533.333333333333,66.6666666666666,"MYb71_anc_0_2_3"
"releas","anc","0","MYb11","3","3","3","b",404.848484848485,-20.6060606060606,"MYb11_anc_0_3_3"
"releas","anc","0","MYb71","5","5","3","b",210,25.5555555555556,"MYb71_anc_0_3_5"
"releas","anc","0","MYb11","5","5","3","b",42.8888888888889,3.77777777777778,"MYb11_anc_0_3_5"
"releas","anc","0","MYb71","5","5","2","b",1303.7037037037,214.814814814815,"MYb71_anc_0_2_5"
"releas","anc","0","MYb11","5","5","2","b",714.814814814815,-459.259259259259,"MYb11_anc_0_2_5"
"releas","anc","0","MYb71","2","2","3","b",5433.33333333333,108.333333333333,"MYb71_anc_0_3_2"
"releas","anc","0","MYb11","2","2","3","b",260.416666666667,247.5,"MYb11_anc_0_3_2"
"releas","anc","0","MYb11","2","2","2","b",4860,-28,"MYb11_anc_0_2_2"
"releas","anc","0","MYb71","2","2","2","b",41880,213.333333333334,"MYb71_anc_0_2_2"
"releas","anc","0","MYb71","1","1","2","b",260,8.88888888888889,"MYb71_anc_0_2_1"
"releas","anc","0","MYb71","4","4","1","b",26444.4444444444,133.333333333333,"MYb71_anc_0_1_4"
"releas","anc","0","MYb11","4","4","1","b",4151.11111111111,-115.555555555556,"MYb11_anc_0_1_4"
"releas","anc","0","MYb11","1","1","1","b",275,131.25,"MYb11_anc_0_1_1"
"releas","anc","0","MYb71","4","4","2","b",2952.5,41.6666666666666,"MYb71_anc_0_2_4"
"releas","anc","0","MYb71","4","4","3","b",11900,383.333333333333,"MYb71_anc_0_3_4"
"releas","anc","0","MYb71","6","6","1","b",12416.6666666667,-933.333333333333,"MYb71_anc_0_1_6"
"releas","anc","0","MYb11","4","4","2","b",1046.66666666667,-43.3333333333333,"MYb11_anc_0_2_4"
"releas","anc","0","MYb71","6","6","2","b",163.768115942029,171.014492753623,"MYb71_anc_0_2_6"
"releas","anc","0","MYb71","6","6","3","b",836.507936507937,-133.333333333333,"MYb71_anc_0_3_6"
"releas","anc","0","MYb11","6","6","3","b",111.640211640212,-129.62962962963,"MYb11_anc_0_3_6"
"releas","anc","0","MYb11","6","6","1","b",2423.33333333333,36.6666666666666,"MYb11_anc_0_1_6"
"releas","anc","0","MYb71","1","1","1","b",891.666666666667,147.916666666667,"MYb71_anc_0_1_1"
"releas","bi","4","MYb71","3","3","1","b",4534.52380952381,-101.190476190476,"MYb71_bi_4_1_3"
"releas","bi","4","MYb71","1","1","1","b",370.114942528736,17.7011494252874,"MYb71_bi_4_1_1"
"releas","bi","4","MYb11","6","6","2","b",153.418803418804,-2119.23076923077,"MYb11_bi_4_2_6"
"releas","bi","4","MYb71","2","2","3","b",38438.5964912281,-14228.0701754386,"MYb71_bi_4_3_2"
"releas","bi","4","MYb11","5","5","2","b",4180.55555555556,666.666666666667,"MYb11_bi_4_2_5"
"releas","bi","4","MYb11","3","3","1","b",292.857142857143,2.38095238095239,"MYb11_bi_4_1_3"
"releas","bi","4","MYb71","5","5","3","b",632.727272727273,69.0909090909091,"MYb71_bi_4_3_5"
"releas","bi","4","MYb71","3","3","2","b",1197.4358974359,-156.410256410256,"MYb71_bi_4_2_3"
"releas","bi","4","MYb11","3","3","2","b",182.051282051282,-305.128205128205,"MYb11_bi_4_2_3"
"releas","bi","4","MYb11","3","3","3","b",14266.6666666667,2133.33333333333,"MYb11_bi_4_3_3"
"releas","bi","4","MYb71","3","3","3","b",88666.6666666667,-666.666666666667,"MYb71_bi_4_3_3"
"releas","bi","4","MYb71","5","5","1","b",556.060606060606,89.5454545454545,"MYb71_bi_4_1_5"
"releas","bi","4","MYb71","6","6","2","b",133.333333333333,100,"MYb71_bi_4_2_6"
"releas","bi","4","MYb11","2","2","2","b",87861.1111111111,408.333333333333,"MYb11_bi_4_2_2"
"releas","bi","4","MYb11","5","5","3","b",31757.5757575758,9593.93939393939,"MYb11_bi_4_3_5"
"releas","bi","4","MYb11","2","2","3","b",41859.649122807,-20736.8421052632,"MYb11_bi_4_3_2"
"releas","bi","4","MYb11","1","1","1","b",2949.42528735632,22.9885057471265,"MYb11_bi_4_1_1"
"releas","bi","4","MYb71","1","1","3","b",2322.35294117647,-153.725490196078,"MYb71_bi_4_3_1"
"releas","bi","4","MYb71","6","6","1","b",725.416666666667,43.9583333333333,"MYb71_bi_4_1_6"
"releas","bi","4","MYb11","6","6","1","b",1827.08333333333,-583.333333333333,"MYb11_bi_4_1_6"
"releas","bi","4","MYb71","2","2","1","b",8224.69135802469,-32.0987654320988,"MYb71_bi_4_1_2"
"releas","bi","4","MYb71","4","4","2","b",4508.33333333333,450,"MYb71_bi_4_2_4"
"releas","bi","4","MYb71","6","6","3","b",2400,960.78431372549,"MYb71_bi_4_3_6"
"releas","bi","4","MYb71","4","4","1","b",4850.79365079365,53.9682539682539,"MYb71_bi_4_1_4"
"releas","bi","4","MYb11","2","2","1","b",75037.037037037,370.37037037037,"MYb11_bi_4_1_2"
"releas","bi","4","MYb11","5","5","1","b",5742.42424242424,66.6666666666667,"MYb11_bi_4_1_5"
"releas","bi","4","MYb71","5","5","2","b",588.888888888889,55.5555555555555,"MYb71_bi_4_2_5"
"releas","bi","4","MYb71","2","2","2","b",77916.6666666667,1480.55555555556,"MYb71_bi_4_2_2"
"releas","bi","4","MYb11","4","4","1","b",7955.55555555556,114.285714285714,"MYb11_bi_4_1_4"
"releas","bi","4","MYb11","4","4","2","b",2283.33333333333,-600,"MYb11_bi_4_2_4"
"releas","bi","4","MYb11","6","6","3","b",5921.56862745098,1156.86274509804,"MYb11_bi_4_3_6"
"releas","mono","10","MYb11","1","1","2","b",1711.11111111111,-222.222222222222,"MYb11_mono_10_2_1"
"releas","mono","10","MYb11","1","1","1","b",1216.66666666667,800,"MYb11_mono_10_1_1"
"releas","mono","10","MYb71","6","6","1","b",313.333333333333,35.5555555555556,"MYb71_mono_10_1_6"
"releas","mono","10","MYb71","1","1","1","b",282.5,331.666666666667,"MYb71_mono_10_1_1"
"releas","mono","10","MYb11","2","2","3","b",1650.47619047619,122.857142857143,"MYb11_mono_10_3_2"
"releas","mono","10","MYb71","3","3","1","b",262.905982905983,20.8547008547008,"MYb71_mono_10_1_3"
"releas","mono","10","MYb11","2","2","2","b",401.666666666667,70,"MYb11_mono_10_2_2"
