assay,tp,cycle,treatE,pop,strain,cfu
growth,hCy,10,bi,6,MYb11,8.24E+09
growth,fCy,10,bi,6,MYb11,19973333333
growth,t0h,10,bi,6,MYb71,14240000
growth,24h,10,bi,6,MYb71,7466666.667
growth,fCy,10,bi,6,MYb71,5066666667
growth,hCy,10,bi,6,MYb71,714666666.7
growth,t0h,10,bi,6,MYb11,185066666.7
growth,24h,10,mono,6,MYb11,2.24E+09
growth,t0h,10,mono,6,MYb71,8.00E+07
growth,hCy,10,mono,6,MYb71,2026666667
growth,fCy,10,mono,6,MYb11,7.84E+09
growth,t0h,10,mono,6,MYb11,84266666.67
growth,hCy,10,mono,6,MYb11,4746666667
growth,24h,10,mono,6,MYb71,53280000
growth,fCy,0,anc,6,MYb71,8266666667
growth,hCy,0,anc,6,MYb11,5653333333
growth,fCy,0,anc,6,MYb11,16986666667
growth,24h,0,anc,6,MYb71,193600000
growth,hCy,0,anc,6,MYb71,7.52E+08
growth,24h,0,anc,6,MYb11,2.40E+10
growth,t0h,0,anc,6,MYb11,78933333.33
growth,t0h,0,anc,6,MYb71,122133333.3
