assay,treatE,cycle,strain,repO,rep,repT,lawn,cfu_w,cfu_releas,id
col.l4,bi,4,co-culture,5,5,2,b,461.3333333,NA,co-culture_bi_4_2_5
col.l4,bi,4,co-culture,1,1,2,b,673.3333333,NA,co-culture_bi_4_2_1
col.l4,bi,4,co-culture,2,2,2,b,148000,NA,co-culture_bi_4_2_2
col.l4,bi,4,co-culture,6,6,3,b,552.0833333,NA,co-culture_bi_4_3_6
col.l4,bi,4,co-culture,1,1,1,b,1066.666667,NA,co-culture_bi_4_1_1
col.l4,bi,4,co-culture,5,5,1,b,72,NA,co-culture_bi_4_1_5
col.l4,bi,4,co-culture,2,2,1,b,14111.11111,NA,co-culture_bi_4_1_2
col.l4,bi,4,co-culture,4,4,2,b,29500,NA,co-culture_bi_4_2_4
col.l4,bi,4,co-culture,4,4,3,b,18066.66667,NA,co-culture_bi_4_3_4
col.l4,bi,4,co-culture,6,6,2,b,518.2795699,NA,co-culture_bi_4_2_6
col.l4,bi,4,co-culture,6,6,1,b,731.6666667,NA,co-culture_bi_4_1_6
col.l4,bi,4,co-culture,2,2,3,b,39244.44444,NA,co-culture_bi_4_3_2
col.l4,mono,10,co-culture,4,4,2,b,9033.333333,NA,co-culture_mono_10_2_4
col.l4,mono,10,co-culture,5,5,3,b,2995.555556,NA,co-culture_mono_10_3_5
col.l4,mono,10,co-culture,1,1,2,b,583.3333333,NA,co-culture_mono_10_2_1
col.l4,mono,10,co-culture,3,3,1,b,105.3333333,NA,co-culture_mono_10_1_3
col.l4,mono,10,co-culture,2,2,3,b,28200,NA,co-culture_mono_10_3_2
col.l4,mono,10,co-culture,5,5,2,b,354.4444444,NA,co-culture_mono_10_2_5
col.l4,mono,10,co-culture,4,4,3,b,515,NA,co-culture_mono_10_3_4
col.l4,mono,10,co-culture,5,5,1,b,20,NA,co-culture_mono_10_1_5
col.l4,mono,10,co-culture,6,6,3,b,3244.444444,NA,co-culture_mono_10_3_6
col.l4,mono,10,co-culture,1,1,3,b,933.3333333,NA,co-culture_mono_10_3_1
col.l4,mono,10,co-culture,6,6,1,b,3025,NA,co-culture_mono_10_1_6
col.l4,mono,10,co-culture,3,3,3,b,97.43589744,NA,co-culture_mono_10_3_3
col.l4,mono,10,co-culture,1,1,1,b,883.3333333,NA,co-culture_mono_10_1_1
col.l4,mono,10,co-culture,4,4,1,b,1.333333333,NA,co-culture_mono_10_1_4
col.l4,mono,10,co-culture,3,3,2,b,46.13333333,NA,co-culture_mono_10_2_3
col.l4,mono,10,co-culture,2,2,1,b,3621.111111,NA,co-culture_mono_10_1_2
col.l4,mono,10,co-culture,6,6,2,b,16242.42424,NA,co-culture_mono_10_2_6
col.l4,mono,10,co-culture,2,2,2,b,17657.77778,NA,co-culture_mono_10_2_2
col.l4,mono,4,MYb11,6,6,1,b,1733.333333,NA,MYb11_mono_4_1_6
col.l4,mono,4,MYb11,3,3,3,b,22.66666667,NA,MYb11_mono_4_3_3
col.l4,mono,4,MYb11,3,3,2,b,62.33333333,NA,MYb11_mono_4_2_3
col.l4,mono,4,MYb11,6,6,3,b,266.6666667,NA,MYb11_mono_4_3_6
col.l4,mono,4,MYb11,4,4,1,b,177.7777778,NA,MYb11_mono_4_1_4
col.l4,mono,4,MYb11,4,4,3,b,174.7747748,NA,MYb11_mono_4_3_4
col.l4,mono,4,MYb11,5,5,3,b,6000,NA,MYb11_mono_4_3_5
col.l4,mono,4,MYb11,4,4,2,b,162.745098,NA,MYb11_mono_4_2_4
col.l4,mono,4,MYb11,5,5,2,b,1362.318841,NA,MYb11_mono_4_2_5
col.l4,mono,4,MYb11,5,5,1,b,1400,NA,MYb11_mono_4_1_5
col.l4,mono,4,MYb11,1,1,2,b,1666.666667,NA,MYb11_mono_4_2_1
col.l4,mono,4,MYb11,1,1,1,b,373.3333333,NA,MYb11_mono_4_1_1
col.l4,mono,4,MYb11,2,2,3,b,1022.666667,NA,MYb11_mono_4_3_2
col.l4,mono,4,MYb11,2,2,2,b,12000,NA,MYb11_mono_4_2_2
col.l4,mono,4,MYb11,6,6,2,b,540,NA,MYb11_mono_4_2_6
col.l4,mono,4,MYb11,2,2,1,b,437.7777778,NA,MYb11_mono_4_1_2
col.l4,mono,4,MYb11,1,1,3,b,643.3333333,NA,MYb11_mono_4_3_1
col.l4,bi,4,MYb11,1,1,1,b,14.66666667,NA,MYb11_bi_4_1_1
col.l4,bi,4,MYb11,1,1,2,b,140,NA,MYb11_bi_4_2_1
col.l4,bi,4,MYb11,1,1,3,b,450,NA,MYb11_bi_4_3_1
col.l4,bi,4,MYb11,2,2,2,b,6025,NA,MYb11_bi_4_2_2
col.l4,bi,4,MYb11,2,2,3,b,5366.666667,NA,MYb11_bi_4_3_2
col.l4,bi,4,MYb11,5,5,1,b,15.55555556,NA,MYb11_bi_4_1_5
col.l4,bi,4,MYb11,5,5,2,b,430.3030303,NA,MYb11_bi_4_2_5
col.l4,bi,4,MYb11,5,5,3,b,5000,NA,MYb11_bi_4_3_5
col.l4,bi,4,MYb11,6,6,2,b,846.6666667,NA,MYb11_bi_4_2_6
col.l4,bi,4,MYb11,6,6,3,b,82.42424242,NA,MYb11_bi_4_3_6
col.l4,bi,4,MYb11,3,3,2,b,8.533333333,NA,MYb11_bi_4_2_3
col.l4,bi,4,MYb11,3,3,3,b,2.5,NA,MYb11_bi_4_3_3
col.l4,bi,4,MYb11,4,4,3,b,3866.666667,NA,MYb11_bi_4_3_4
col.l4,bi,4,MYb11,2,2,1,b,1720,NA,MYb11_bi_4_1_2
col.l4,bi,4,MYb11,6,6,1,b,217.7777778,NA,MYb11_bi_4_1_6
col.l4,bi,4,MYb11,4,4,2,b,27333.33333,NA,MYb11_bi_4_2_4
col.l4,bi,4,MYb11,4,4,1,b,68.88888889,NA,MYb11_bi_4_1_4
col.l4,bi,10,MYb11,6,6,3,b,17333.33333,NA,MYb11_bi_10_3_6
col.l4,bi,10,MYb11,6,6,2,b,5666.666667,NA,MYb11_bi_10_2_6
col.l4,bi,10,MYb11,5,5,2,b,18277.77778,NA,MYb11_bi_10_2_5
col.l4,bi,10,MYb11,2,2,2,b,32511.11111,NA,MYb11_bi_10_2_2
col.l4,bi,10,MYb11,5,5,1,b,45,NA,MYb11_bi_10_1_5
col.l4,bi,10,MYb11,4,4,2,b,5566.666667,NA,MYb11_bi_10_2_4
col.l4,bi,10,MYb11,6,6,1,b,711.1111111,NA,MYb11_bi_10_1_6
col.l4,bi,10,MYb11,2,2,3,b,8300,NA,MYb11_bi_10_3_2
col.l4,bi,10,MYb11,3,3,1,b,2755.555556,NA,MYb11_bi_10_1_3
col.l4,bi,10,MYb11,1,1,3,b,136.6666667,NA,MYb11_bi_10_3_1
col.l4,bi,10,MYb11,4,4,3,b,1688.888889,NA,MYb11_bi_10_3_4
col.l4,bi,10,MYb11,2,2,1,b,237.7777778,NA,MYb11_bi_10_1_2
col.l4,bi,10,MYb11,3,3,3,b,2363.636364,NA,MYb11_bi_10_3_3
col.l4,bi,10,MYb11,5,5,3,b,2230.769231,NA,MYb11_bi_10_3_5
col.l4,bi,10,MYb11,4,4,1,b,1.754385965,NA,MYb11_bi_10_1_4
col.l4,bi,10,MYb11,3,3,2,b,772,NA,MYb11_bi_10_2_3
col.l4,mono,10,MYb11,2,2,3,b,7866.666667,NA,MYb11_mono_10_3_2
col.l4,mono,10,MYb11,4,4,2,b,1072.727273,NA,MYb11_mono_10_2_4
col.l4,mono,10,MYb11,3,3,2,b,25.6,NA,MYb11_mono_10_2_3
col.l4,mono,10,MYb11,1,1,2,b,406.6666667,NA,MYb11_mono_10_2_1
col.l4,mono,10,MYb11,2,2,2,b,2466.666667,NA,MYb11_mono_10_2_2
col.l4,mono,10,MYb11,6,6,2,b,23888.88889,NA,MYb11_mono_10_2_6
col.l4,mono,10,MYb11,4,4,1,b,4.285714286,NA,MYb11_mono_10_1_4
col.l4,mono,10,MYb11,6,6,3,b,453.3333333,NA,MYb11_mono_10_3_6
col.l4,mono,10,MYb11,6,6,1,b,2244.444444,NA,MYb11_mono_10_1_6
col.l4,mono,10,MYb11,1,1,1,b,146.6666667,NA,MYb11_mono_10_1_1
col.l4,mono,10,MYb11,2,2,1,b,128.3333333,NA,MYb11_mono_10_1_2
col.l4,mono,10,MYb11,4,4,3,b,600,NA,MYb11_mono_10_3_4
col.l4,mono,10,MYb11,3,3,3,b,2.352941176,NA,MYb11_mono_10_3_3
col.l4,mono,10,MYb11,5,5,3,b,2952.380952,NA,MYb11_mono_10_3_5
col.l4,mono,10,MYb11,1,1,3,b,82,NA,MYb11_mono_10_3_1
col.l4,anc,0,MYb11,5,5,1,b,10,NA,MYb11_anc_0_1_5
col.l4,anc,0,MYb11,3,3,1,b,22.22222222,NA,MYb11_anc_0_1_3
col.l4,anc,0,MYb11,4,4,1,b,9.090909091,NA,MYb11_anc_0_1_4
col.l4,anc,0,MYb11,3,3,2,b,4.444444444,NA,MYb11_anc_0_2_3
col.l4,anc,0,MYb11,1,1,2,b,2166.666667,NA,MYb11_anc_0_2_1
