"assay","treatE","cycle","strain","repO","rep","repT","lawn","cfu_w","cfu_releas","id"
"col.l4","bi","10","MYb11","6","6","2","b",12600,"NA","MYb11_bi_10_2_6"
"col.l4","bi","10","MYb71","3","3","3","b",32.1739130434783,"NA","MYb71_bi_10_3_3"
"col.l4","bi","10","MYb11","4","4","2","b",468.181818181818,"NA","MYb11_bi_10_2_4"
"col.l4","bi","10","MYb11","6","6","1","b",2450,"NA","MYb11_bi_10_1_6"
"col.l4","bi","10","MYb11","5","5","1","b",4000,"NA","MYb11_bi_10_1_5"
"col.l4","bi","10","MYb71","2","2","3","b",8466.66666666667,"NA","MYb71_bi_10_3_2"
"col.l4","bi","10","MYb11","2","2","2","b",12066.6666666667,"NA","MYb11_bi_10_2_2"
"col.l4","bi","10","MYb71","4","4","1","b",0,"NA","MYb71_bi_10_1_4"
"col.l4","bi","10","MYb71","5","5","1","b",4688.88888888889,"NA","MYb71_bi_10_1_5"
"col.l4","bi","10","MYb71","2","2","2","b",37555.5555555556,"NA","MYb71_bi_10_2_2"
"col.l4","bi","10","MYb71","1","1","3","b",113.333333333333,"NA","MYb71_bi_10_3_1"
"col.l4","bi","10","MYb11","3","3","3","b",3246.3768115942,"NA","MYb11_bi_10_3_3"
"col.l4","bi","10","MYb11","4","4","1","b",8.88888888888889,"NA","MYb11_bi_10_1_4"
"col.l4","anc","0","MYb71","3","3","1","b",45,"NA","MYb71_anc_0_1_3"
"col.l4","anc","0","MYb71","5","5","1","b",15,"NA","MYb71_anc_0_1_5"
"col.l4","anc","0","MYb71","2","2","3","b",26222.2222222222,"NA","MYb71_anc_0_3_2"
"col.l4","anc","0","MYb11","2","2","3","b",457.777777777778,"NA","MYb11_anc_0_3_2"
"col.l4","anc","0","MYb71","5","5","3","b",88.8888888888889,"NA","MYb71_anc_0_3_5"
"col.l4","anc","0","MYb71","5","5","2","b",751.515151515152,"NA","MYb71_anc_0_2_5"
"col.l4","anc","0","MYb11","5","5","2","b",321.212121212121,"NA","MYb11_anc_0_2_5"
"col.l4","anc","0","MYb11","5","5","3","b",54.6666666666667,"NA","MYb11_anc_0_3_5"
"col.l4","anc","0","MYb11","2","2","1","b",1126.66666666667,"NA","MYb11_anc_0_1_2"
"col.l4","anc","0","MYb71","2","2","1","b",355.555555555556,"NA","MYb71_anc_0_1_2"
"col.l4","anc","0","MYb71","3","3","3","b",1.66666666666667,"NA","MYb71_anc_0_3_3"
"col.l4","anc","0","MYb71","2","2","2","b",25333.3333333333,"NA","MYb71_anc_0_2_2"
"col.l4","anc","0","MYb11","5","5","1","b",68.3333333333333,"NA","MYb11_anc_0_1_5"
"col.l4","anc","0","MYb71","4","4","1","b",6.66666666666667,"NA","MYb71_anc_0_1_4"
"col.l4","anc","0","MYb11","2","2","2","b",640,"NA","MYb11_anc_0_2_2"
"col.l4","anc","0","MYb11","4","4","2","b",5033.33333333333,"NA","MYb11_anc_0_2_4"
"col.l4","anc","0","MYb11","4","4","3","b",1030,"NA","MYb11_anc_0_3_4"
"col.l4","anc","0","MYb71","4","4","3","b",10600,"NA","MYb71_anc_0_3_4"
"col.l4","anc","0","MYb71","4","4","2","b",37333.3333333333,"NA","MYb71_anc_0_2_4"
"col.l4","anc","0","MYb11","1","1","1","b",1044.44444444444,"NA","MYb11_anc_0_1_1"
"col.l4","anc","0","MYb71","1","1","1","b",806.666666666667,"NA","MYb71_anc_0_1_1"
"col.l4","anc","0","MYb71","1","1","2","b",820,"NA","MYb71_anc_0_2_1"
"col.l4","anc","0","MYb11","1","1","2","b",2293.33333333333,"NA","MYb11_anc_0_2_1"
"col.l4","anc","0","MYb71","1","1","3","b",150,"NA","MYb71_anc_0_3_1"
"col.l4","anc","0","MYb11","1","1","3","b",102.222222222222,"NA","MYb11_anc_0_3_1"
"col.l4","anc","0","MYb11","4","4","1","b",66.6666666666667,"NA","MYb11_anc_0_1_4"
