assay,treatE,cycle,strain,rep,repO,nWorms,avg.area,avg.major,avg.minor,avg.minor.major
wormSize,mono,4,MYb11,6,6,52.22222222,0.02094366,0.491009804,0.049968701,0.10204896
wormSize,mono,10,MYb11,6,6,40.11111111,0.023696832,0.502496019,0.055038193,0.109717976
wormSize,anc,0,MYb11,7,1,26.55555556,0.018268319,0.484300965,0.04432267,0.092167535
wormSize,bi,4,MYb11,7,6,40.22222222,0.021216152,0.512944888,0.048560632,0.094594826
wormSize,mono,4,MYb11,7,7,31.22222222,0.026795735,0.560604577,0.056055643,0.100354012
wormSize,mono,10,MYb11,7,1,39.33333333,0.02294875,0.521672422,0.05164758,0.099211342
wormSize,anc,0,MYb71,2,2,14,0.029037782,0.615331587,0.056914485,0.092745656
wormSize,bi,4,MYb71,2,2,31.66666667,0.023840208,0.562177435,0.050421598,0.090243362
wormSize,mono,4,MYb71,2,2,29.11111111,0.025874073,0.577406864,0.053040854,0.092023987
wormSize,bi,10,MYb71,3,3,12.66666667,0.016772727,0.438509596,0.041061616,0.095316089
wormSize,mono,4,MYb71,3,3,16.5,0.022342324,0.560844777,0.048381943,0.086325097
wormSize,mono,10,MYb71,3,3,19,0.024532702,0.579638512,0.052074091,0.089836041
wormSize,anc,0,MYb71,4,4,35.44444444,0.031408622,0.627670685,0.05800009,0.092597767
wormSize,bi,4,MYb71,4,4,31.11111111,0.026837641,0.60014556,0.052646321,0.087869893
wormSize,bi,10,MYb71,4,4,59,0.021730974,0.492173248,0.051899576,0.105795778
wormSize,mono,4,MYb71,4,4,28,0.027542872,0.594464071,0.055358219,0.093004271
wormSize,mono,10,MYb71,4,4,29.77777778,0.029023811,0.616034202,0.056637765,0.091975167
wormSize,anc,0,MYb71,5,5,12.88888889,0.019469458,0.518433941,0.044281676,0.085423374
wormSize,bi,10,MYb71,5,5,24.375,0.018402592,0.424269093,0.050282856,0.121344863
wormSize,mono,4,MYb71,5,5,15.875,0.021926971,0.532334556,0.049700206,0.095591339
wormSize,anc,0,MYb71,6,6,21.16666667,0.022692768,0.534391094,0.050745109,0.095144091
wormSize,bi,4,MYb71,6,6,40.66666667,0.026050346,0.541232624,0.055775898,0.103510226
wormSize,bi,10,MYb71,6,6,28.11111111,0.018514373,0.483447061,0.04545263,0.094005402
wormSize,mono,4,MYb71,6,6,20.22222222,0.024523752,0.580597352,0.051301448,0.088686233
wormSize,mono,10,MYb71,6,6,46.77777778,0.024476772,0.510215995,0.055510731,0.108897586
wormSize,anc,0,MYb71,7,1,25.48148148,0.024001159,0.590460339,0.049042952,0.083258143
wormSize,mono,4,MYb71,7,1,16.22222222,0.022806216,0.576520394,0.048426163,0.084357869
wormSize,mono,10,MYb71,7,1,30.25925926,0.021517102,0.536263601,0.048001475,0.091561522
